# x, y
-1.626978397369384766e+00 -9.589242935180664062e-01
-1.410048007965087891e+00 -8.051459789276123047e-01
-1.193117499351501465e+00 -3.676032125949859619e-01
-9.761871099472045898e-01 8.467200398445129395e-02
-7.592566013336181641e-01 3.374401032924652100e-01
-5.423261523246765137e-01 3.318026661872863770e-01
-3.253956735134124756e-01 1.682942062616348267e-01
-1.084652319550514221e-01 2.181298285722732544e-02
1.084652319550514221e-01 2.181298285722732544e-02
3.253956735134124756e-01 1.682942062616348267e-01
5.423261523246765137e-01 3.318026661872863770e-01
7.592566013336181641e-01 3.374401032924652100e-01
9.761871099472045898e-01 8.467200398445129395e-02
1.193117499351501465e+00 -3.676032125949859619e-01
1.410048007965087891e+00 -8.051459789276123047e-01
1.626978397369384766e+00 -9.589242935180664062e-01
